segment_id,ner_condition,system_id,issue_category,severity,source_span_fr,hypothesis_span_en,ref_span_en,wrong_terminology,concept_flattening_too_vague,missing_terms,unnatural_phrasing,notes,reviewer,resolved
48_114,ner_biollm,s5,fluency,major,,,,0,0,0,0,"Heuristic sample: sentence chrF vs reference = 4.52 (condition=ner_biollm, system=s5). Replace with human judgement.",heuristic,0
48_106,ner_biollm,s4,fluency,major,,,,0,0,0,0,"Heuristic sample: sentence chrF vs reference = 4.71 (condition=ner_biollm, system=s4). Replace with human judgement.",heuristic,0
48_095,ner_biollm,s2,fluency,major,,,,0,0,0,0,"Heuristic sample: sentence chrF vs reference = 5.35 (condition=ner_biollm, system=s2). Replace with human judgement.",heuristic,0
48_098,ner_biollm_finetuned,s5,fluency,major,,,,0,0,0,0,"Heuristic sample: sentence chrF vs reference = 5.39 (condition=ner_biollm_finetuned, system=s5). Replace with human judgement.",heuristic,0
48_118,ner_biollm_finetuned,s1,fluency,major,,,,0,0,0,0,"Heuristic sample: sentence chrF vs reference = 5.62 (condition=ner_biollm_finetuned, system=s1). Replace with human judgement.",heuristic,0
48_125,ner_biollm_finetuned,s2,fluency,major,,,,0,0,0,0,"Heuristic sample: sentence chrF vs reference = 6.37 (condition=ner_biollm_finetuned, system=s2). Replace with human judgement.",heuristic,0
48_107,ner_biollm,s3,fluency,major,,,,0,0,0,0,"Heuristic sample: sentence chrF vs reference = 6.82 (condition=ner_biollm, system=s3). Replace with human judgement.",heuristic,0
48_115,ner_biollm,s2,fluency,major,,,,0,0,0,0,"Heuristic sample: sentence chrF vs reference = 7.18 (condition=ner_biollm, system=s2). Replace with human judgement.",heuristic,0
48_116,ner_biollm_finetuned,s2,fluency,major,,,,0,0,0,0,"Heuristic sample: sentence chrF vs reference = 7.19 (condition=ner_biollm_finetuned, system=s2). Replace with human judgement.",heuristic,0
48_100,ner_biollm_finetuned,s4,fluency,major,,,,0,0,0,0,"Heuristic sample: sentence chrF vs reference = 7.30 (condition=ner_biollm_finetuned, system=s4). Replace with human judgement.",heuristic,0
48_057,ner_biollm,s5,fluency,major,,,,0,0,0,0,"Heuristic sample: sentence chrF vs reference = 7.74 (condition=ner_biollm, system=s5). Replace with human judgement.",heuristic,0
48_053,ner_biollm_finetuned,s4,fluency,major,,,,0,0,0,0,"Heuristic sample: sentence chrF vs reference = 7.80 (condition=ner_biollm_finetuned, system=s4). Replace with human judgement.",heuristic,0
48_064,ner_biollm,s5,fluency,major,,,,0,0,0,0,"Heuristic sample: sentence chrF vs reference = 8.05 (condition=ner_biollm, system=s5). Replace with human judgement.",heuristic,0
48_109,ner_biollm,s2,fluency,major,,,,0,0,0,0,"Heuristic sample: sentence chrF vs reference = 8.78 (condition=ner_biollm, system=s2). Replace with human judgement.",heuristic,0
48_117,ner_biollm_finetuned,s2,fluency,major,,,,0,0,0,0,"Heuristic sample: sentence chrF vs reference = 9.36 (condition=ner_biollm_finetuned, system=s2). Replace with human judgement.",heuristic,0
48_090,ner_biollm_finetuned,s1,fluency,major,,,,0,0,0,0,"Heuristic sample: sentence chrF vs reference = 9.51 (condition=ner_biollm_finetuned, system=s1). Replace with human judgement.",heuristic,0
48_028,ner_biollm,s1,fluency,major,,,,0,0,0,0,"Heuristic sample: sentence chrF vs reference = 9.56 (condition=ner_biollm, system=s1). Replace with human judgement.",heuristic,0
48_032,ner_biollm_finetuned,s5,fluency,major,,,,0,0,0,0,"Heuristic sample: sentence chrF vs reference = 9.60 (condition=ner_biollm_finetuned, system=s5). Replace with human judgement.",heuristic,0
