fr_term,system,n_segments,modal_agreement_rate
pembrolizumab,s1,107,1.0
hypothyroïdie,s1,92,0.869565
fatigue,s1,3,1.0
effets indésirables,s1,3,1.0
chimiothérapie,s1,3,1.0
constipation,s1,3,1.0
vomissements,s1,3,1.0
axitinib,s1,5,1.0
lenvatinib,s1,5,1.0
grade,s1,5,1.0
3,s1,3,1.0
pneumopathie inflammatoire,s1,4,1.0
séquelles,s1,8,1.0
hépatite,s1,3,1.0
2,s1,3,1.0
durée,s1,3,1.0
hypophysite,s1,3,1.0
ALAT,s1,4,1.0
__MEAN__,s1,18,0.992754
pembrolizumab,s2,107,1.0
hypothyroïdie,s2,92,0.706522
fatigue,s2,3,1.0
effets indésirables,s2,3,1.0
chimiothérapie,s2,3,1.0
constipation,s2,3,1.0
vomissements,s2,3,1.0
axitinib,s2,5,1.0
lenvatinib,s2,5,1.0
grade,s2,5,1.0
3,s2,3,1.0
pneumopathie inflammatoire,s2,4,1.0
séquelles,s2,8,1.0
hépatite,s2,3,1.0
2,s2,3,1.0
durée,s2,3,1.0
hypophysite,s2,3,1.0
ALAT,s2,4,1.0
__MEAN__,s2,18,0.983696
pembrolizumab,s3,107,1.0
hypothyroïdie,s3,92,0.521739
fatigue,s3,3,1.0
effets indésirables,s3,3,1.0
chimiothérapie,s3,3,1.0
constipation,s3,3,1.0
vomissements,s3,3,1.0
axitinib,s3,5,1.0
lenvatinib,s3,5,1.0
grade,s3,5,1.0
3,s3,3,1.0
pneumopathie inflammatoire,s3,4,0.5
séquelles,s3,8,1.0
hépatite,s3,3,1.0
2,s3,3,1.0
durée,s3,3,1.0
hypophysite,s3,3,1.0
ALAT,s3,4,1.0
__MEAN__,s3,18,0.945652
pembrolizumab,s4,107,1.0
hypothyroïdie,s4,92,0.597826
fatigue,s4,3,1.0
effets indésirables,s4,3,1.0
chimiothérapie,s4,3,1.0
constipation,s4,3,1.0
vomissements,s4,3,1.0
axitinib,s4,5,1.0
lenvatinib,s4,5,1.0
grade,s4,5,1.0
3,s4,3,1.0
pneumopathie inflammatoire,s4,4,0.5
séquelles,s4,8,1.0
hépatite,s4,3,1.0
2,s4,3,1.0
durée,s4,3,1.0
hypophysite,s4,3,1.0
ALAT,s4,4,1.0
__MEAN__,s4,18,0.949879
pembrolizumab,s5,107,1.0
hypothyroïdie,s5,92,0.858696
fatigue,s5,3,1.0
effets indésirables,s5,3,1.0
chimiothérapie,s5,3,1.0
constipation,s5,3,1.0
vomissements,s5,3,1.0
axitinib,s5,5,1.0
lenvatinib,s5,5,1.0
grade,s5,5,1.0
3,s5,3,1.0
pneumopathie inflammatoire,s5,4,1.0
séquelles,s5,8,1.0
hépatite,s5,3,1.0
2,s5,3,1.0
durée,s5,3,1.0
hypophysite,s5,3,1.0
ALAT,s5,4,1.0
__MEAN__,s5,18,0.99215
pembrolizumab,s5_mistral,107,1.0
hypothyroïdie,s5_mistral,92,0.521739
fatigue,s5_mistral,3,1.0
effets indésirables,s5_mistral,3,1.0
chimiothérapie,s5_mistral,3,1.0
constipation,s5_mistral,3,1.0
vomissements,s5_mistral,3,1.0
axitinib,s5_mistral,5,1.0
lenvatinib,s5_mistral,5,1.0
grade,s5_mistral,5,1.0
3,s5_mistral,3,1.0
pneumopathie inflammatoire,s5_mistral,4,0.75
séquelles,s5_mistral,8,1.0
hépatite,s5_mistral,3,1.0
2,s5_mistral,3,1.0
durée,s5_mistral,3,1.0
hypophysite,s5_mistral,3,1.0
ALAT,s5_mistral,4,1.0
__MEAN__,s5_mistral,18,0.959541
