segment_id,ner_condition,system_id,issue_category,severity,source_span_fr,hypothesis_span_en,ref_span_en,wrong_terminology,concept_flattening_too_vague,missing_terms,unnatural_phrasing,notes,reviewer,resolved
48_114,ner_biollm,s5,terminology_wrong,minor,anticorps anti-berahyaluronidase alfa recombinante,anti-recombinant berahyaluronidase alpha antibodies,anti-recombinant berahyaluronidase alpha antibodies,1,0,0,0,"The hypothesis uses a different preferred rendering for 'anticorps anti-berahyaluronidase alfa recombinante' compared to the reference. This is substitution, not mere vagueness.",auto:ollama:llama3.2,0
48_106,ner_biollm,s4,terminology_wrong,minor,Il n'y a pas eu d'effets indésirables hépatiques de Grade 5.,There were no Grade 5 hepatic adverse effects.,No patients experienced hepatic VOD.,1,0,0,0,The hypothesis uses a different concept (hepatic VOD vs hepatic adverse effects) and terminology (Grade 5 vs Grade 3/2/1).,auto:ollama:llama3.2,0
48_098,ner_biollm_finetuned,s1,terminology_wrong,minor,Aucun patient n'a présenté de MVO hépatique.,No patients had hepatic MVO.,"Rare cases of SJS and TEN, some of them with fatal outcome, have been observed (see sections 4.2 and 4.4).",1,0,0,0,The hypothesis uses a different concept (hepatic MVO vs SJS and TEN) and loses specificity (no distinction between SJS and TEN).,auto:ollama:llama3.2,0
48_118,ner_biollm_finetuned,s1,terminology_wrong,minor,LHc,LHc,Immunogenicity,1,0,0,0,"The hypothesis uses a different concept (LHc vs Immunogenicity) than the reference. This is substitution, not mere vagueness.",auto:ollama:llama3.2,0
48_125,ner_biollm_finetuned,s2,terminology_wrong,minor,Déclaration des effets indésirables suspectés,Reporting of suspected adverse reactions is important.,"The safety of pembrolizumab as monotherapy has been evaluated in 161 paediatric patients aged 9 months to 17 years with advanced melanoma, lymphoma, or PD-L1 positive advanced, relapsed, or refractory solid tumours at 2 mg/kg bw every 3 weeks in the Phase I/II study KEYNOTE-051.",1,0,0,0,"The hypothesis uses a different concept (adverse reactions vs. safety of pembrolizumab) and terminology (e.g., 'suspected adverse reactions' vs. 'evaluated in 161 paediatric patients').",auto:ollama:llama3.2,0
48_107,ner_biollm,s3,terminology_wrong,minor,Anomalie de Grade 3 ou 4,Grade 3 or 4 abnormalities,Grade 3 or 4 syndrome post-transplant,1,0,0,0,The hypothesis uses a different concept (syndrome vs abnormalities) and a different branch of the terminology. The reference uses a more specific and nuanced term (syndrome post-transplant).,auto:ollama:llama3.2,0
48_115,ner_biollm,s2,terminology_wrong,minor,La pertinence clinique du développement d'anticorps anti-berahyaluronidase alfa recombinante après traitement par pembrolizumab sous-cutané est inconnue.,The clinical relevance of developing anti-berahyaluronidase alfa recombinant antibodies after pembrolizumab subcutaneous treatment is unknown.,"171 Laboratory abnormalities In patients treated with pembrolizumab monotherapy, the proportion of patients who experienced a shift from baseline to a Grade 3 or 4 laboratory abnormality was as follows: ...",1,0,0,0,The hypothesis uses a different concept (clinical relevance) than the reference (proportion of patients with laboratory abnormalities).,auto:ollama:llama3.2,0
48_116,ner_biollm,s2,terminology_wrong,minor,La sécurité de pembrolizumab solution injectable chez les patients pédiatriques n’a pas été établie dans les études cliniques.,The safety of pembrolizumab injection solution in pediatric patients has not been established in clinical studies.,"In patients treated with pembrolizumab in combination with chemotherapy, RT or CRT, the proportion of patients who experienced a shift from baseline to a Grade 3 or 4 laboratory abnormality was as follows: ...",1,0,0,0,"The hypothesis uses a more general term 'pediatric patients' instead of 'patients treated with pembrolizumab in combination with chemotherapy, RT or CRT', which is a more specific and clinically relevant concept. This is an example of substitution, not mere vagueness.",auto:ollama:llama3.2,0
48_100,ner_biollm,s4,terminology_wrong,minor,pembrolizumab est associé à l’axitinib,pembrolizumab is given in combination with axitinib,pembrolizumab is given in combination with axitinib,1,0,0,0,"The hypothesis uses a different wording for 'est associé à' compared to the reference, which uses 'is given in combination with'. This is a substitution of terminology, not mere vagueness.",auto:ollama:llama3.2,0
48_095,ner_biollm,s1,terminology_wrong,minor,Aucun patient n'a présenté de MVO hépatique.,No patients had hepatic MVO.,The median duration was 1.9 months (range: 1 day to 47.1+ months).,1,0,0,0,"The hypothesis uses a different concept (hepatic MVO vs. median duration) than the reference. The hypothesis spans 'No patients had hepatic MVO.' and 'Aucun patient n'a présenté de MVO hépatique.' are not identical, but the former is a more direct translation of the latter.",auto:ollama:llama3.2,0
