segment_id,ner_condition,system_id,issue_category,severity,source_span_fr,hypothesis_span_en,ref_span_en,wrong_terminology,concept_flattening_too_vague,missing_terms,unnatural_phrasing,notes,reviewer,resolved
48_028,ner_finetuned,s5,fluency,minor,neutropénie,neutropenia,neutropenia,0,0,0,0,"The hypothesis uses the correct term 'neutropenia', but the reference uses 'neutropénie' which is not present in the ontology guide. No issues with terminology, specificity, missing terms, or unnatural phrasing.",auto:ollama:llama3.2,0
48_114,ner_biollm,s5,terminology_wrong,minor,anticorps anti-berahyaluronidase alfa recombinante,anti-recombinant berahyaluronidase alpha antibodies,anti-recombinant berahyaluronidase alpha antibodies,1,0,0,0,"The hypothesis uses a different preferred rendering for 'anticorps anti-berahyaluronidase alfa recombinante' compared to the reference. This is substitution, not mere vagueness.",auto:ollama:llama3.2,0
48_024,ner_baseline,s3,other,,,,,0,0,0,0,"[parse_error] Raw model output (trimmed): {
  ""issue_category"": ""terminology_wrong"",
  ""severity"": ""minor"",
  ""source_span_fr"": ""très fréquent (≥ 1/10)"",
  ""hypothesis_span_en"": ""Very frequent (≥ 1/10): SLE.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1",auto:ollama:llama3.2,0
48_106,ner_biollm,s5,terminology_wrong,minor,Il n'y a pas eu d'effets indésirables hépatiques de Grade 5.,There were no Grade 5 hepatic adverse effects.,No patients experienced hepatic VOD.,1,0,0,0,"The hypothesis uses a different concept (hepatic VOD vs hepatic adverse effects) and terminology (Grade 5 vs Grade 4/5) than the reference. This is substitution, not mere vagueness.",auto:ollama:llama3.2,0
48_098,ner_finetuned,s5,terminology_wrong,minor,Aucun patient n'a présenté de MVO hépatique.,No patients had hepatic MVO.,"Rare cases of SJS and TEN, some of them with fatal outcome, have been observed (see sections 4.2 and 4.4).",1,0,1,0,"The hypothesis uses a different concept (hepatic MVO vs SJS and TEN) and omits clinically meaningful content (e.g., 'fatal outcome').",auto:ollama:llama3.2,0
48_118,ner_baseline,s1,terminology_wrong,minor,LHc,LHc,Immunogenicity,1,0,0,0,"The hypothesis uses a different concept (LHc vs Immunogenicity) than the reference. This is substitution, not mere vagueness.",auto:ollama:llama3.2,0
48_125,ner_biollm,s2,terminology_wrong,minor,Déclaration des effets indésirables suspectés,Reporting of suspected adverse reactions is important.,"The safety of pembrolizumab as monotherapy has been evaluated in 161 paediatric patients aged 9 months to 17 years with advanced melanoma, lymphoma, or PD-L1 positive advanced, relapsed, or refractory solid tumours at 2 mg/kg bw every 3 weeks in the Phase I/II study KEYNOTE-051.",1,0,0,0,"The hypothesis uses a different concept (adverse reactions vs. safety of pembrolizumab) and terminology (e.g., 'suspected adverse reactions' vs. 'advanced melanoma, lymphoma, or PD-L1 positive advanced, relapsed, or refractory solid tumours').",auto:ollama:llama3.2,0
48_107,ner_biollm,s4,terminology_wrong,minor,diminution des lymphocytes,decrease in lymphocytes,decrease in lymphocytes,1,0,0,0,"The hypothesis uses 'decrease in lymphocytes' instead of the more specific 'diminution des lymphocytes'. This is a wrong concept, not just vagueness.",auto:ollama:llama3.2,0
48_115,ner_baseline,s2,terminology_wrong,minor,La pertinence clinique du développement d'anticorps anti-berahyaluronidase alfa recombinante après traitement par pembrolizumab sous-cutané est inconnue.,The clinical relevance of developing anti-berahyaluronidase alfa recombinant antibodies after pembrolizumab subcutaneous treatment is unknown.,"171 Laboratory abnormalities In patients treated with pembrolizumab monotherapy, the proportion of patients who experienced a shift from baseline to a Grade 3 or 4 laboratory abnormality was as follows: ...",1,0,0,0,The hypothesis uses a different concept (unknown clinical relevance) than the reference (proportion of patients with laboratory abnormalities).,auto:ollama:llama3.2,0
48_057,ner_finetuned,s5,terminology_wrong,minor,Néphrite à médiation immunitaire,Immunomediated nephritis,The median duration was 1.3 months (range: 1 day to 29.0+ months).,1,0,0,0,"The hypothesis uses a different concept (Néphrite à médiation immunitaire) than the reference (The median duration was 1.3 months). This is substitution, not mere vagueness.",auto:ollama:llama3.2,0
