comparison,aggregation,field,cohens_kappa,percent_agreement,n_annotations
D vs N,per_field,human,0.0690,,9
D vs N,per_field,s1,-0.0976,,9
D vs N,per_field,s2,-0.3636,,9
D vs N,per_field,s5,0.0526,,9
D vs N,per_field,s6,-0.3636,,9
D vs N,per_field,best_system,0.0000,,9
D vs N,macro_mean_fields,all,-0.1172,,6
D vs LLM,per_field,human,0.2500,,9
D vs LLM,per_field,s1,0.1000,,9
D vs LLM,per_field,s2,-0.1538,,9
D vs LLM,per_field,s5,0.7692,,9
D vs LLM,per_field,s6,-0.5000,,9
D vs LLM,per_field,best_system,0.4490,,9
D vs LLM,macro_mean_fields,all,0.1524,,6
N vs LLM,per_field,human,0.0000,,9
N vs LLM,per_field,s1,0.7805,,9
N vs LLM,per_field,s2,0.5263,,9
N vs LLM,per_field,s5,0.1818,,9
N vs LLM,per_field,s6,0.7273,,9
N vs LLM,per_field,best_system,0.0000,,9
N vs LLM,macro_mean_fields,all,0.3693,,6
D vs LLM,overall_pooled,all,0.3644,0.5882,51
N vs LLM,overall_pooled,all,0.5186,0.6863,51
D vs N,overall_pooled,all,0.1474,0.4444,54
D vs N,macro_mean_fields,all,-0.1172,,6
Human vs LLM,overall_pooled,all,0.5050,0.7174,46
Human vs LLM,macro_mean_fields,all,0.3649,,6
Human vs LLM,per_field,human,0.2500,,9
Human vs LLM,per_field,s1,0.5263,,9
Human vs LLM,per_field,s2,0.3415,,9
Human vs LLM,per_field,s5,0.5714,,9
Human vs LLM,per_field,s6,0.0000,,9
Human vs LLM,per_field,best_system,0.5000,,9
